id,casualty_age_0-23,casualty_age_24-30,casualty_age_31-38,casualty_age_39-50,casualty_age_50+
346819,1,0,0,0,0
346820,0,0,0,0,1
346821,0,1,0,0,0
346822,0,0,0,0,1
346823,1,0,0,0,0
346824,0,0,0,0,1
346825,0,0,1,0,0
346826,0,0,1,1,0
346827,1,1,2,0,0
346828,1,0,0,0,0
346829,0,0,1,0,0
346830,1,0,0,0,0
346831,0,1,0,0,0
346832,0,0,0,0,1
346833,0,0,1,0,0
346834,0,0,0,0,1
346835,0,1,0,0,0
346836,0,0,0,0,1
346837,0,0,0,1,0
346838,0,0,0,1,0
346839,0,0,0,1,0
346840,0,2,0,0,2
346841,0,0,0,1,0
346842,0,0,0,0,1
346843,0,0,0,0,1
346844,0,0,1,0,0
346845,0,0,0,1,0
346846,0,0,0,0,1
346847,0,1,0,0,0
346848,0,0,1,0,0
346849,0,0,0,0,1
346850,0,0,1,0,0
346851,0,0,0,0,0
346852,0,1,0,0,0
346853,0,0,1,0,0
346854,0,0,1,0,0
346855,0,0,0,0,1
346856,1,0,0,0,0
346857,0,0,0,1,0
346858,0,0,0,1,0
346859,0,0,0,1,0
346860,0,1,0,1,1
346861,0,0,0,1,0
346862,0,0,0,1,0
346863,0,0,0,1,0
346864,0,1,0,0,0
346865,0,0,0,1,0
346866,0,1,1,1,0
346867,1,0,0,0,0
346868,1,0,0,0,0
346869,0,0,0,0,1
346870,0,0,1,1,0
346871,0,0,0,0,1
346872,0,0,0,0,1
346873,0,0,1,0,0
346874,0,0,1,0,0
346875,0,0,0,1,0
346876,1,0,0,0,0
